,T1,T2,T3,T4,T5,E,STD
R2 training,0.278803450203583,0.3069677336811789,0.3008232708015445,0.3218132079397268,0.2970580667525601,0.3010931458757186,0.01397867649716986
R2 validation,0.3593895139324875,0.26062248800846766,0.2907666039842288,0.19401419469215475,0.322170378234088,0.28539263577028534,0.056250510338772444
RMSE training,29.167069404054825,29.67804302732602,29.072064702613314,29.185544240485353,31.18418821758393,29.65738191841269,0.7921108199954642
RMSE validation,31.74865288876743,29.977931860855968,32.21622671555603,32.05460442098189,22.763509553802553,29.752185087992775,3.584719429312809
W1,-0.6694789605032675,2.4330166396269943,1.9216088851182647,1.44492971154295,2.0289598516832803,1.4318072254936443,1.0967673455010427
W2,-7.704546656007481,-7.1341105018214375,-6.36119860777952,-9.84936006603791,-3.924212361526467,-6.994685638634563,1.923622624457692
W3,0.8714483106734771,2.2571566968217907,1.3713568599621042,0.40215849111617635,1.8432483742670427,1.3490737465681182,0.6624340423568938
W4,0.0019848279855099035,0.3981115217904257,-0.6696540003137408,-0.5739093389959622,0.05489218294429767,-0.15771496131789395,0.4037197640637042
W5,0.3210263491439339,8.33417173540833,4.0725073942401915,3.860682508862348,5.703014831531414,4.458280563837244,2.615137188819092
W6,11.561565880379236,7.166715252549377,12.885506329138224,5.582029394727794,8.67180626179379,9.173524623717686,2.707744167075322
W7,8.06602148519359,16.431761676401777,12.193151814627601,11.263278353461477,13.082989459187749,12.207440557774436,2.707562489141007
W8,10.222168417076343,21.63424338449648,14.31294659000069,10.959850427707062,15.621957321330658,14.550233228122247,4.074581967228999
W9,17.31612858458661,7.704538174947893,13.110023806045945,14.764887988294767,8.165166910479128,12.21214909287087,3.7435246090442296
W10,7.617018018706642,5.5013145257610025,4.861763060033663,5.111477260014215,4.829893626125663,5.584293298128237,1.0443734085364835
W11,-1.4359620716441601,-2.1184966054270227,-3.114611334804228,-2.4196872737894783,-1.7366570695312569,-2.165082871039229,0.5803040225694931
W12,25.768298201084388,14.560428800356453,15.21007508599416,13.307595312591724,13.110418838941584,16.391363247793663,4.752870557514112
W13,27.049668937788827,16.772343508942107,16.945751899965437,14.059333883167048,14.488206314594388,17.863060908891562,4.738836780474403
W14,13.030402067491833,12.107238695322744,14.94912093647647,14.236894963311498,14.275679425377454,13.719867217595999,1.0161931459715123
W15,-2.290861479086696,-2.3570386846841505,-1.8920644260398862,-1.3399044146302,-1.5586454986409781,-1.8877029006163824,0.39779238191506056
W16,-3.801838200459432,-1.7863303307830734,-3.7052166126016597,-1.32350324827516,-4.472343043964309,-3.0178462872167264,1.232080515567016
W17,12.01463808335041,17.632245492730714,14.082562404920346,10.814526738669533,22.517898120825006,15.412374168099202,4.239563896253654
W18,32.50307860281096,25.86613751226852,24.085026957781796,14.250558112369147,30.148478395813758,25.370655916208836,6.31274837174293
W19,-7.483816710965269,3.3998595797403994,2.8613769988354836,2.395737948456789,7.0263330014913645,1.6398981635117535,4.845959593038654
W20,0.8902840856444494,7.773235256952783,5.063019054663572,5.012543794442856,7.16860562121723,5.181537562584178,2.413412453037106
W21,-15.210609745163715,-4.3979181429848495,-13.512988903692664,-11.687512384751619,-7.6226765625359985,-10.48634114782577,3.9545313831407256
W22,5.648362215263306,12.870566930549257,11.409051258305286,11.924667965116333,12.630370396503931,10.896603753147621,2.6745480032633573
W23,9.291555717009151,18.585733935670678,13.076960261832758,12.34028156501712,15.788159494059729,13.816538194717888,3.1570332320917323
W24,4.2999215242059154,-0.6237076284330937,1.458585652376862,6.688997925705603,-1.42243763308567,2.0802719681539235,3.0375705156618777
W25,-6.070721441161887,0.0368584961767754,-1.2823643265871247,-5.467833804535772,-3.2411979943320484,-3.2050518140880113,2.3469239837953118
W26,-7.372988888412919,-7.809134122936149,-6.948839050289238,-5.487857456062459,-8.115342120421516,-7.146832327624456,0.9186077116102006
W27,5.603154133057335,6.250244566466092,8.207341798520272,6.175454627880383,4.228569810844474,6.092952987353711,1.2820307915846887
W28,-10.059388081283773,0.9495480287123443,0.4868703247352268,4.789511126781862,-2.8420174684659374,-1.3350952139040553,4.98866829355287
W29,-2.766243883540605,1.732849998567133,6.857512410247821,4.753078221885203,5.138097993765924,3.1430589481850952,3.3846139104935333
W30,41.98632995940436,41.831526245393,40.58889796319386,44.851686990062504,40.1704066830463,41.88576956822,1.6391501866082843
W31,173.78054072540468,174.21201898812595,176.89403087706347,166.10242983141728,176.99222484139224,173.59624905268075,3.9743799283348604
W32,-53.56829187308049,-54.65479831514125,-52.565472206789224,-55.598605560640586,-54.47560125086795,-54.172553841303895,1.0301325038507285
W33,50.99602744540747,52.1861208391337,49.43370967827078,55.73412507321996,50.04518337655302,51.67903328251699,2.230620891036011
W34,117.4862160053378,117.33405186113532,117.98170820885922,114.0571244264785,117.61013925159308,116.8938479506808,1.4344471350877266
